Quarter,WTI Change
1,32.7125016205004
2,71.773273374052
3,85.5941114616194
4,117.482345692973
5,113.006316786459
6,89.319140853411
7,94.1076028130698
8,89.9683834489303
9,75.2495216424472
10,66.9154749761887
11,59.7210340587072
12,56.8367922961979
13,56.0589500930195
14,62.0060647572007
15,41.9084045717158
16,38.0008684657531
17,41.304438530057
18,34.3789745130439
19,29.5268756739388
20,32.0237096936735
